cut_off,accuracy,recall,Performance
0.05,0.9937138449672195,0.35374149659863946,0.5217506092647176
0.1,0.9939838025453143,0.19047619047619047,0.319690406124898
0.15000000000000002,0.993790975703818,0.08843537414965986,0.1624175511431995
0.2,0.9936752795989202,0.047619047619047616,0.09088279695811052
0.25,0.9937138449672195,0.034013605442176874,0.06577578643380468
0.3,0.9937524103355188,0.034013605442176874,0.06577587091510859
0.35000000000000003,0.9937524103355188,0.027210884353741496,0.052971310632909316
0.4,0.9938681064404165,0.027210884353741496,0.052971474980967645
0.45,0.9938681064404165,0.027210884353741496,0.052971474980967645
0.5,0.9938681064404165,0.027210884353741496,0.052971474980967645
0.55,0.9938681064404165,0.027210884353741496,0.052971474980967645
